gene,LR_stat,pvalue,padj
ENSG00000236682,27.427277428781476,1.6311417503154805e-07,9.23216011203621e-07
ENSG00000173674,27.425895751196553,1.632307548300334e-07,9.237150876252559e-07
ENSG00000151414,27.419125913016327,1.6380317166950902e-07,9.267931017807536e-07
ENSG00000242071,27.401203596087566,1.6532830674843033e-07,9.352595568050881e-07
ENSG00000245552,27.399049852052695,1.6551253913178666e-07,9.361389213293854e-07
ENSG00000266405,27.382839399896977,1.6690580794921462e-07,9.438551010475323e-07
ENSG00000273047,27.382099414224317,1.669696886088288e-07,9.440521927914344e-07
ENSG00000105967,27.38029865873059,1.6712524461137956e-07,9.447674613682055e-07
ENSG00000175793,27.37835758842322,1.6729308419598365e-07,9.455519089714599e-07
ENSG00000124787,27.374292101591035,1.6764516449537497e-07,9.47377244086635e-07
ENSG00000169914,27.373877073883055,1.676811485762635e-07,9.474159683803408e-07
ENSG00000029725,27.37242757898401,1.6780688463889458e-07,9.479616991881413e-07
ENSG00000065970,27.359399930279253,1.6894121429643738e-07,9.542039199980437e-07
ENSG00000167106,27.332879906488206,1.7127413809037945e-07,9.672126270142943e-07
ENSG00000108733,27.33105006738753,1.714362917561469e-07,9.679602570301057e-07
ENSG00000163751,27.327091742882804,1.7178759063079716e-07,9.697753901223373e-07
ENSG00000285444,27.322929343070044,1.7215777930380734e-07,9.71696511370778e-07
ENSG00000108344,27.31452445058952,1.729077187054818e-07,9.757599909317506e-07
ENSG00000123384,27.309638783456354,1.7334515366454885e-07,9.780588285007734e-07
ENSG00000216331,27.30392295171277,1.738583248748503e-07,9.807841182272128e-07
ENSG00000226026,27.286227388023352,1.7545671792085718e-07,9.89629445061068e-07
ENSG00000140807,27.281492433491323,1.7588690581070195e-07,9.918838132088866e-07
ENSG00000135414,27.281115248025618,1.7592121990940541e-07,9.919053248775454e-07
ENSG00000225420,27.279433448982775,1.7607430169052e-07,9.925963667150444e-07
ENSG00000116675,27.27749133786601,1.7625124386857214e-07,9.934216556488221e-07
ENSG00000231259,27.27603973083533,1.763836134897281e-07,9.93986259316749e-07
ENSG00000205307,27.2757226377656,1.7641254193396085e-07,9.93986259316749e-07
ENSG00000250988,27.272464665739065,1.7671004272099065e-07,9.95490041464067e-07
ENSG00000093217,27.271769029751816,1.7677362963619072e-07,9.95675785075891e-07
ENSG00000137507,27.26771162725258,1.7714496718250762e-07,9.975945667029458e-07
ENSG00000270911,27.26647075687636,1.772586889139988e-07,9.980621677391048e-07
ENSG00000117280,27.25701925366583,1.7812729296472533e-07,1.0027792663664181e-06
ENSG00000184635,27.24779687329971,1.7897895217745342e-07,1.0073993566485186e-06
ENSG00000184221,27.24681624924129,1.790697495711124e-07,1.0077360089205256e-06
ENSG00000151366,27.24509403600025,1.7922932352251568e-07,1.008459525882224e-06
ENSG00000149600,27.241444916232375,1.795679086159828e-07,1.010189850200483e-06
ENSG00000267107,27.22463209412755,1.8113619306936927e-07,1.018836262712215e-06
ENSG00000143401,27.210861025044306,1.8243096714126452e-07,1.0259415378468278e-06
ENSG00000163516,27.206629527887532,1.828306780330025e-07,1.028011637446284e-06
ENSG00000142227,27.198285838196522,1.836214037149625e-07,1.0322184815640135e-06
ENSG00000166278,27.198065424709522,1.8364233855019314e-07,1.0322184815640135e-06
ENSG00000269653,27.196687908760673,1.8377322898143394e-07,1.0327756960314834e-06
ENSG00000101255,27.18945952244424,1.8446159844302557e-07,1.036465118272992e-06
ENSG00000110057,27.18678036158084,1.8471739463251846e-07,1.0377231142233141e-06
ENSG00000019144,27.176662556928832,1.856866150556263e-07,1.042987926569789e-06
ENSG00000270022,27.17613736950409,1.8573706354334523e-07,1.0430911380688435e-06
ENSG00000055130,27.155941020899128,1.876875426048131e-07,1.0538629593566525e-06
ENSG00000262413,27.14705121192672,1.8855257730235893e-07,1.0585373587135021e-06
ENSG00000210082,27.142621286715425,1.8898512762975966e-07,1.0607825890188201e-06
ENSG00000001630,27.137565145820812,1.8948003888361853e-07,1.0633770189082039e-06
ENSG00000260979,27.112827410906036,1.9192023653170627e-07,1.0767223875350027e-06
ENSG00000016391,27.112787225154328,1.9192422607897456e-07,1.0767223875350027e-06
ENSG00000105793,27.109805162275656,1.922205103508895e-07,1.0781985922096634e-06
ENSG00000269891,27.106650445939515,1.9253444770307446e-07,1.0797732899119483e-06
ENSG00000175928,27.089795395965403,1.9422048333317732e-07,1.0890411308554471e-06
ENSG00000260565,27.088149540764217,1.9438591163274452e-07,1.0897808340148452e-06
ENSG00000126550,27.087216868771392,1.9447971909841556e-07,1.0901188253220734e-06
ENSG00000143889,27.08380889276474,1.9482287678183724e-07,1.091854144183855e-06
ENSG00000234089,27.082275281820287,1.9497749785681942e-07,1.0925324233803378e-06
ENSG00000260918,27.079525472370843,1.9525504601749869e-07,1.09389915703378e-06
ENSG00000197747,27.078103274923937,1.9539874884661732e-07,1.0945156923854098e-06
ENSG00000066379,27.077217602993304,1.9548829318376334e-07,1.0948287017259086e-06
ENSG00000155506,27.05886806157082,1.973527729578653e-07,1.1050803860426473e-06
ENSG00000111832,27.05739858589253,1.9750285356086484e-07,1.1057303844906948e-06
ENSG00000287978,27.053473582225585,1.9790428338966064e-07,1.1077871091907992e-06
ENSG00000097021,27.04966443582885,1.9829464580570594e-07,1.1097811858360298e-06
ENSG00000188582,27.03683559513842,1.9961503424044398e-07,1.1169786895333309e-06
ENSG00000262879,27.033801710154616,1.9992857833327723e-07,1.1185407233020545e-06
ENSG00000106397,27.03258519371061,2.000544407331867e-07,1.1190523772832298e-06
ENSG00000169738,27.030395954466247,2.0028114240340757e-07,1.1201278268690664e-06
ENSG00000271500,27.023689921042575,2.0097717395674302e-07,1.1238273128303296e-06
ENSG00000123066,27.02331521648374,2.010161366707557e-07,1.123851950628557e-06
ENSG00000224307,27.021040123225216,2.0125286912283003e-07,1.1249820917175453e-06
ENSG00000279753,27.019214414756544,2.0144304338079955e-07,1.1258516337567217e-06
ENSG00000126790,27.013781640888496,2.0201001236879712e-07,1.1286629543728855e-06
ENSG00000108622,27.013729436465027,2.0201546821857715e-07,1.1286629543728855e-06
ENSG00000277879,27.005604494806853,2.0286640317280424e-07,1.133222460320498e-06
ENSG00000040199,26.98407100318419,2.0513904965699747e-07,1.1457207921938644e-06
ENSG00000274292,26.980288872998116,2.0554084246976949e-07,1.147767733310756e-06
ENSG00000036672,26.963212110398228,2.0736482745769924e-07,1.1577543207861449e-06
ENSG00000214113,26.96113913619561,2.075873451109205e-07,1.15879774076508e-06
ENSG00000146221,26.954305415484594,2.0832258812582068e-07,1.162702455985574e-06
ENSG00000169018,26.94800165391576,2.0900312667090226e-07,1.166300563759623e-06
ENSG00000233695,26.94682012079736,2.091309298111118e-07,1.1668135356522523e-06
ENSG00000197857,26.945270318241846,2.0929868638932954e-07,1.167370133372479e-06
ENSG00000150990,26.945235287691514,2.093024797889098e-07,1.167370133372479e-06
ENSG00000148672,26.940508515106117,2.098149665406925e-07,1.1700278363917013e-06
ENSG00000249930,26.93467300663979,2.104493999551811e-07,1.1733645440326419e-06
ENSG00000092094,26.932970845109818,2.1063482002453647e-07,1.1741970546516926e-06
ENSG00000223722,26.931707828202075,2.1077250895289168e-07,1.1747632452726552e-06
ENSG00000135862,26.927867476882074,2.111917227243918e-07,1.1768980819812663e-06
ENSG00000064726,26.927111739826817,2.1127431753809894e-07,1.1769785398773814e-06
ENSG00000004864,26.927073101870075,2.1127854116610766e-07,1.1769785398773814e-06
ENSG00000051009,26.91944150205154,2.1211443495373387e-07,1.1814327202543815e-06
ENSG00000205978,26.917872740786294,2.122866726134881e-07,1.1821895833451815e-06
ENSG00000254470,26.908224345402957,2.1334907717840224e-07,1.1879025317575753e-06
ENSG00000142279,26.905069123131756,2.1369766016227258e-07,1.1896397301946985e-06
ENSG00000279110,26.903348983943562,2.1388793825514208e-07,1.1904952127218435e-06
ENSG00000142949,26.896049276758724,2.1469730732818483e-07,1.1947956586117773e-06
ENSG00000115966,26.8895003879533,2.154260399772076e-07,1.1986459661486305e-06
