gene,module
ENSG00000124493,8
ENSG00000214753,8
ENSG00000260287,5
ENSG00000181274,4
ENSG00000196576,8
ENSG00000268555,1
ENSG00000120306,1
ENSG00000007516,8
ENSG00000280007,8
ENSG00000286679,8
ENSG00000135828,1
ENSG00000162399,8
ENSG00000198355,8
ENSG00000109906,4
ENSG00000136938,8
ENSG00000234389,1
ENSG00000169583,8
ENSG00000240972,8
ENSG00000136861,4
ENSG00000167513,8
ENSG00000007255,8
ENSG00000244115,1
ENSG00000107282,8
ENSG00000230069,8
ENSG00000117632,8
ENSG00000163710,8
ENSG00000182263,8
ENSG00000071859,8
ENSG00000170500,8
ENSG00000131747,8
ENSG00000089012,8
ENSG00000169045,8
ENSG00000126264,8
ENSG00000240671,1
ENSG00000171804,8
ENSG00000253998,1
ENSG00000227827,8
ENSG00000100346,8
ENSG00000151150,8
ENSG00000287458,1
ENSG00000255346,8
ENSG00000196951,8
ENSG00000242574,8
ENSG00000185338,8
ENSG00000158373,1
ENSG00000027697,1
ENSG00000135046,8
ENSG00000160973,8
ENSG00000198019,1
ENSG00000136816,1
ENSG00000237943,8
ENSG00000225783,8
ENSG00000255587,8
ENSG00000080854,8
ENSG00000288542,8
ENSG00000226210,8
ENSG00000073111,8
ENSG00000285600,8
ENSG00000137818,8
ENSG00000185710,1
ENSG00000168418,8
ENSG00000159433,8
ENSG00000229117,8
ENSG00000049759,8
ENSG00000103187,8
ENSG00000157542,8
ENSG00000099804,8
ENSG00000227487,8
ENSG00000158258,8
ENSG00000196935,8
ENSG00000248871,8
ENSG00000163564,8
ENSG00000110079,8
ENSG00000144713,8
ENSG00000106078,8
ENSG00000185885,1
ENSG00000234948,8
ENSG00000184792,8
ENSG00000149575,8
ENSG00000150687,8
ENSG00000280441,8
ENSG00000196498,8
ENSG00000213853,8
ENSG00000196090,8
ENSG00000125743,8
ENSG00000186010,8
ENSG00000134072,8
ENSG00000103335,8
ENSG00000234899,8
ENSG00000143469,8
ENSG00000225873,1
ENSG00000075429,8
ENSG00000275464,8
ENSG00000172575,8
ENSG00000198727,8
ENSG00000140323,8
ENSG00000227775,8
ENSG00000130508,8
ENSG00000235142,8
ENSG00000123609,1
ENSG00000169327,8
ENSG00000236438,4
ENSG00000284948,1
ENSG00000251372,8
ENSG00000116396,8
ENSG00000173320,8
ENSG00000162105,8
ENSG00000168282,1
ENSG00000114279,8
ENSG00000166927,8
ENSG00000131095,8
ENSG00000227191,8
ENSG00000196581,8
ENSG00000282572,1
ENSG00000122224,8
ENSG00000224582,8
ENSG00000163563,1
ENSG00000090554,8
ENSG00000282851,1
ENSG00000287771,1
ENSG00000077454,8
ENSG00000253452,8
ENSG00000147604,8
ENSG00000285517,8
ENSG00000157557,4
ENSG00000100626,8
ENSG00000142875,8
ENSG00000100351,8
ENSG00000145681,8
ENSG00000164742,8
ENSG00000277693,8
ENSG00000211829,8
ENSG00000124203,8
ENSG00000141574,1
ENSG00000180616,8
ENSG00000110080,1
ENSG00000287671,8
ENSG00000115525,8
ENSG00000099985,4
ENSG00000007520,8
ENSG00000163873,8
ENSG00000019169,8
ENSG00000167393,8
ENSG00000140511,8
ENSG00000137070,8
ENSG00000173372,8
ENSG00000126860,1
ENSG00000158321,8
ENSG00000079432,8
ENSG00000169508,8
ENSG00000266378,4
ENSG00000184371,8
ENSG00000250208,8
ENSG00000280222,8
ENSG00000182809,8
ENSG00000144908,8
ENSG00000100316,8
ENSG00000231475,1
ENSG00000138166,8
ENSG00000126247,8
ENSG00000280341,8
ENSG00000147403,8
ENSG00000162825,8
ENSG00000137752,1
ENSG00000183454,8
ENSG00000279628,8
ENSG00000248527,8
ENSG00000115268,8
ENSG00000112038,8
ENSG00000287176,8
ENSG00000241294,1
ENSG00000169213,8
ENSG00000204020,1
ENSG00000144285,8
ENSG00000258819,4
ENSG00000143546,4
ENSG00000171992,8
ENSG00000158786,8
ENSG00000196092,8
ENSG00000130368,8
ENSG00000152082,8
ENSG00000163644,8
ENSG00000163682,8
