Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,ciliary basal body-plasma membrane docking (GO:0097711),2/95,0.8230493057668156,0.9087731887280324,0,0,0.6330275229357798,0.1232752545922281,HAUS4;CC2D2A
GO_Biological_Process_2021,glycolipid metabolic process (GO:0006664),1/52,0.8238544533855621,0.9087731887280324,0,0,0.5775482712168837,0.1119065609720114,ST3GAL6
GO_Biological_Process_2021,translational termination (GO:0006415),2/96,0.8274979049971427,0.9123970407046418,0,0,0.6262606545643828,0.1185816429695458,MRPL44;MRPS18C
GO_Biological_Process_2021,phosphate-containing compound metabolic process (GO:0006796),5/212,0.8287434287296349,0.9133749515250454,0,0,0.7100558783588237,0.1333802097718934,PAK1;GK;INPP5D;STAT3;NADK
GO_Biological_Process_2021,cardiac muscle tissue development (GO:0048738),1/53,0.8296470343141952,0.9135801973187442,0,0,0.566412213740458,0.1057802724800577,AKAP13
GO_Biological_Process_2021,regulation of immune effector process (GO:0002697),1/53,0.8296470343141952,0.9135801973187442,0,0,0.566412213740458,0.1057802724800577,FCGR2B
GO_Biological_Process_2021,regulation of inflammatory response to antigenic stimulus (GO:0002861),3/137,0.8313214429957738,0.91402536631011,0,0,0.6586135174053165,0.1216714341476988,HCK;FCGR3A;FCGR2A
GO_Biological_Process_2021,protein maturation (GO:0051604),2/97,0.8318456219500727,0.91402536631011,0,0,0.6196362465797521,0.1140802416070202,PSEN1;ASPRV1
GO_Biological_Process_2021,calcium ion homeostasis (GO:0055074),2/97,0.8318456219500727,0.91402536631011,0,0,0.6196362465797521,0.1140802416070202,CCR1;CCR2
GO_Biological_Process_2021,double-strand break repair via homologous recombination (GO:0000724),2/97,0.8318456219500727,0.91402536631011,0,0,0.6196362465797521,0.1140802416070202,RPA2;SAMHD1
GO_Biological_Process_2021,positive regulation of cold-induced thermogenesis (GO:0120162),2/97,0.8318456219500727,0.91402536631011,0,0,0.6196362465797521,0.1140802416070202,DECR1;CCR2
GO_Biological_Process_2021,negative regulation of neuron death (GO:1901215),2/98,0.8360942758774149,0.9159277938321616,0,0,0.6131498470948012,0.1097623466803595,PTK2B;BTBD10
GO_Biological_Process_2021,regulation of peptidyl-serine phosphorylation (GO:0033135),2/98,0.8360942758774149,0.9159277938321616,0,0,0.6131498470948012,0.1097623466803595,TRIM6;PAK1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),2/98,0.8360942758774149,0.9159277938321616,0,0,0.6131498470948012,0.1097623466803595,CAPZA1;FCGR2B
GO_Biological_Process_2021,regulation of proteolysis (GO:0030162),1/54,0.8352494036740314,0.9159277938321616,0,0,0.5556963848480484,0.1000391926112813,FADD
GO_Biological_Process_2021,cytoplasmic microtubule organization (GO:0031122),1/54,0.8352494036740314,0.9159277938321616,0,0,0.5556963848480484,0.1000391926112813,KPNB1
GO_Biological_Process_2021,regulation of humoral immune response (GO:0002920),1/54,0.8352494036740314,0.9159277938321616,0,0,0.5556963848480484,0.1000391926112813,FCGR2B
GO_Biological_Process_2021,regulation of potassium ion transmembrane transport (GO:1901379),1/54,0.8352494036740314,0.9159277938321616,0,0,0.5556963848480484,0.1000391926112813,KCNJ15
GO_Biological_Process_2021,positive regulation of response to DNA damage stimulus (GO:2001022),1/55,0.8406677981548042,0.9189617518885348,0,0,0.5453774385072095,0.0946550020643183,SMCHD1
GO_Biological_Process_2021,regulation of gene silencing by RNA (GO:0060966),1/55,0.8406677981548042,0.9189617518885348,0,0,0.5453774385072095,0.0946550020643183,NUP50
GO_Biological_Process_2021,regulation of mitotic cell cycle (GO:0007346),4/178,0.8395410376422904,0.9189617518885348,0,0,0.6759043790987942,0.1182156219847533,RNF20;UBE2D1;PSMB8;PSMB9
GO_Biological_Process_2021,mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),2/99,0.8402456756563802,0.9189617518885348,0,0,0.6067971878054164,0.1056197003590962,NUP50;SLU7
GO_Biological_Process_2021,regulation of posttranscriptional gene silencing (GO:0060147),1/55,0.8406677981548042,0.9189617518885348,0,0,0.5453774385072095,0.0946550020643183,NUP50
GO_Biological_Process_2021,protein stabilization (GO:0050821),4/179,0.8426652446535943,0.9207500549689852,0,0,0.6720070113935145,0.1150378561819965,MORC3;LAMP2;STK3;HSPA1A
GO_Biological_Process_2021,regulation of cell growth (GO:0001558),5/217,0.8434070516598648,0.921165420487854,0,0,0.6931281337854679,0.1180435865607309,BST2;RPS6KA1;PML;RAB33B;HSPA1A
GO_Biological_Process_2021,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),2/100,0.8443016182250604,0.9215262249223476,0,0,0.600574174623978,0.1016444648571317,CAPZA1;FCGR2B
GO_Biological_Process_2021,blood vessel morphogenesis (GO:0048514),1/56,0.845908250439124,0.9215262249223476,0,0,0.5354337265787648,0.0896018230107801,CCM2
GO_Biological_Process_2021,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",1/56,0.845908250439124,0.9215262249223476,0,0,0.5354337265787648,0.0896018230107801,PML
GO_Biological_Process_2021,Rho protein signal transduction (GO:0007266),1/56,0.845908250439124,0.9215262249223476,0,0,0.5354337265787648,0.0896018230107801,CDC42EP2
GO_Biological_Process_2021,sensory organ development (GO:0007423),1/56,0.845908250439124,0.9215262249223476,0,0,0.5354337265787648,0.0896018230107801,SMCHD1
GO_Biological_Process_2021,positive regulation of establishment of protein localization to mitochondrion (GO:1903749),1/56,0.845908250439124,0.9215262249223476,0,0,0.5354337265787648,0.0896018230107801,SH3GLB1
GO_Biological_Process_2021,Ras protein signal transduction (GO:0007265),3/142,0.848877871604851,0.9239709140929724,0,0,0.6347571253869798,0.1039985774107988,RALB;CDC42EP2;KPNB1
GO_Biological_Process_2021,chromatin organization (GO:0006325),3/142,0.848877871604851,0.9239709140929724,0,0,0.6347571253869798,0.1039985774107988,PAK1;BAZ2B;BAZ1A
GO_Biological_Process_2021,regulation of reactive oxygen species metabolic process (GO:2000377),1/57,0.8509765954681913,0.9247490166414964,0,0,0.5258451472191931,0.0848559748754101,BST1
GO_Biological_Process_2021,protein O-linked glycosylation (GO:0006493),2/102,0.8521342528690977,0.9247490166414964,0,0,0.5885015290519877,0.0941668304372501,B3GNT8;C1GALT1
GO_Biological_Process_2021,negative regulation of DNA recombination (GO:0045910),1/57,0.8509765954681913,0.9247490166414964,0,0,0.5258451472191931,0.0848559748754101,SMCHD1
GO_Biological_Process_2021,mitotic sister chromatid segregation (GO:0000070),2/102,0.8521342528690977,0.9247490166414964,0,0,0.5885015290519877,0.0941668304372501,KPNB1;CHMP5
GO_Biological_Process_2021,cell junction assembly (GO:0034329),2/102,0.8521342528690977,0.9247490166414964,0,0,0.5885015290519877,0.0941668304372501,VMP1;CAPZA1
GO_Biological_Process_2021,regulation of cell death (GO:0010941),2/102,0.8521342528690977,0.9247490166414964,0,0,0.5885015290519877,0.0941668304372501,TRIM13;HSPA1A
GO_Biological_Process_2021,regulation of mitotic nuclear division (GO:0007088),1/57,0.8509765954681913,0.9247490166414964,0,0,0.5258451472191931,0.0848559748754101,TGFA
KEGG_2021_Human,Pyrimidine metabolism,3/56,0.2784113854569875,0.9268306956841064,0,0,1.6721950937617382,2.1381613789978906,NT5C3A;RRM2B;NT5C2
KEGG_2021_Human,Insulin resistance,5/108,0.2808459453964248,0.9268306956841064,0,0,1.4347605625400803,1.8220727373453511,PPP1R3B;RPS6KA1;STAT3;PRKAG2;TNFRSF1A
KEGG_2021_Human,JAK-STAT signaling pathway,7/162,0.2827068221635815,0.9268306956841064,0,0,1.3352850539291217,1.6869255394357403,CCND3;IL10RB;STAT1;STAT2;STAT3;IL6R;STAM2
KEGG_2021_Human,Sulfur metabolism,1/10,0.283642152558498,0.9268306956841064,0,0,3.2798982188295165,4.1328090572628104,SQOR
GO_Biological_Process_2021,positive regulation of mitochondrion organization (GO:0010822),1/58,0.8558784773348957,0.9268377898690388,0,0,0.5165930092406589,0.080395757559886,TNFSF10
GO_Biological_Process_2021,positive regulation of mitotic cell cycle phase transition (GO:1901992),1/58,0.8558784773348957,0.9268377898690388,0,0,0.5165930092406589,0.080395757559886,CCND3
GO_Biological_Process_2021,muscle organ development (GO:0007517),1/58,0.8558784773348957,0.9268377898690388,0,0,0.5165930092406589,0.080395757559886,CXCL10
