gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,significant,direction
4597,429.0803970748579,0.011952559329666108,0.12738449664103974,0.10447869108086755,0.9167894777763546,0.9621760285589673,MVD,False,up
197187,42.575620448491875,-0.5873770076105344,0.319089223122252,-2.5386616474607067,0.011127738350902942,0.04392769588876701,SNAI3-AS1,False,down
333929,8.531228473617766,-0.18497184700665664,0.5737947521075555,-1.4086485946530782,0.15893910213499918,0.3387043150942672,SNAI3,False,down
115992,234.2900390489631,-0.01166839980763863,0.14540005584774016,-0.09464809621768219,0.9245943460239485,0.966062052505462,RNF166,False,down
348180,221.50502492200653,0.04255423963580761,0.1612882724726321,0.3173727345497045,0.7509607933128198,0.8746502432648705,CTU2,False,up
9780,4471.913641965166,-0.007473613358844247,0.10128498325056245,-0.07910577901460204,0.9369484869318097,0.9716780430394634,PIEZO1,False,down
100289580,162.61675746399945,-0.07394343015029482,0.19445645459093053,-0.5033135494004493,0.6147438417143596,0.7862682301854581,LOC100289580,False,down
81620,28.336519296850884,-0.09208838680348955,0.28344844050380413,-0.5480576230700871,0.5836523370837894,0.7631346922562291,CDT1,False,down
353,992.9513752998638,0.15598630352511436,0.11594645418367977,1.4757906225992476,0.14000010891277348,0.31007857691262414,APRT,False,up
2588,907.1384413892796,0.07806283188817965,0.1051596708725829,0.8006053338153849,0.42336016190977754,0.6350954781645588,GALNS,False,up
107987238,20.08022427181274,-0.07983778143059979,0.3297885268316793,-0.48897457970534863,0.6248596938027458,0.7929479169314956,LOC107987238,False,down
107983950,11.042914390558943,0.14984846606020716,0.3605475446307937,0.9807403420848182,0.32672080432340045,0.5406268552399202,LOC107983950,False,up
51693,853.950201184463,-0.2211534344558523,0.1061952778672782,-2.237744495623394,0.025237721816106718,0.08489857385652283,TRAPPC2L,False,down
197322,387.67098688918236,0.08269477205346787,0.12382108856868482,0.737812265333764,0.46062853889305244,0.6665379315814874,ACSF3,False,up
283860,10.198164923893419,0.13027949009897452,0.35066716400720377,0.88539852516608,0.37594172757404787,0.590946680228728,LINC00304,False,up
197320,188.88321177235196,0.0005721795655765273,0.15818423370456056,0.004510868601834467,0.9964008597926355,0.9986590904720818,ZNF778,False,up
29123,4315.272781571237,-0.028443603862318496,0.09258732894467106,-0.32813933641533016,0.7428063129483741,0.8706481777063877,ANKRD11,False,down
105371414,71.60661523283997,-0.721954887673426,0.24728185802521926,-3.45612265762315,0.0005480058903802984,0.003399804888988851,LOC105371414,False,down
101930112,18.28966737436581,0.11801157823240412,0.3062921196782849,0.7200028680202823,0.47152322971300753,0.675543689518216,LOC101930112,False,up
6687,1569.79904574847,-0.10878638261599001,0.10248192133522707,-1.1408151079374735,0.2539468722239844,0.46156831122848124,SPG7,False,down
6137,23059.61790504448,7.678643401730013e-05,0.09952179300490832,-0.0013954977708316777,0.9988865542354086,0.999586088458446,RPL13,False,up
606500,13.674520566905597,-0.068096238303417,0.3394276061079283,-0.44792096260772263,0.6542102390388509,0.8145512556095192,SNORD68,False,down
27132,73.02138695251404,0.06373899563927989,0.22298804400648387,0.3961993276646298,0.6919579872604137,0.8393725844901079,CPNE7,False,up
5119,1997.07148212409,0.19326477736249492,0.0927524039848143,2.197501424977833,0.027984654818711586,0.09228515136870338,CHMP1A,False,up
124045,78.78204931567969,-0.05631320403019735,0.21917629495431457,-0.3589362810885287,0.7196427573061419,0.8563238036352239,SPATA33,False,down
8558,583.3485328173433,0.00702386337639742,0.1240176084749637,0.061950557742799166,0.9506022055284099,0.9779356564689077,CDK10,False,up
124044,134.39498162246844,0.27002479060483714,0.17778622662361573,1.8091574614928416,0.07042654414865482,0.1872143352237746,SPATA2L,False,up
9605,727.0090477990964,0.0790263581462561,0.10870522010942667,0.7866914060011104,0.4314625361410245,0.6424444755956358,VPS9D1,False,up
100128881,143.6358734433553,-0.001446888891941606,0.17982120188262973,-0.011499160816231247,0.9908251993213706,0.9960227436437419,VPS9D1-AS1,False,down
92822,370.3414604145084,0.08538754426608253,0.12617197498565305,0.7521211864563963,0.4519781840972904,0.6592192592918366,ZNF276,False,up
2175,152.5413055674214,-0.1821206644944818,0.1649673602459278,-1.3012842260120823,0.1931611844960779,0.38612087957856456,FANCA,False,down
84501,115.60074603010665,-0.7141519795589713,0.20381580102395855,-3.944776171690739,7.987455114132342e-05,0.0006152356393104342,SPIRE2,False,down
112268179,14.81583730102328,-0.1009743695135103,0.3520125777370064,-0.6383327304043871,0.5232571102547197,0.717179981376106,LOC112268179,False,down
22980,3153.557641725191,-0.08875690400890732,0.09328765220031049,-1.0111105299868528,0.3119635310725811,0.5257411589221034,TCF25,False,down
4157,175.07500952961954,-0.14133829310680765,0.1613202151352001,-1.0393561825610658,0.29863911452778324,0.5108737163519815,MC1R,False,down
10381,678.4966620792246,-1.441789058738438,0.1419862784499981,-10.407267184172518,2.2972157731678817e-25,1.7691637702238724e-23,TUBB3,True,down
54849,1280.5318968346432,0.23250144363406264,0.09966061005552697,2.4782541050829425,0.013202708037707449,0.05044464012546309,DEF8,False,up
92806,344.7508440458722,-0.213787906504964,0.1317754209158243,-1.8049518724152704,0.07108221353954076,0.18840385293461961,CENPBD1P,False,down
172,185.1924303363338,-0.18756471751200116,0.1640564591049263,-1.3548617951965438,0.17546159386417526,0.3618874466370591,AFG3L1P,False,down
79007,154.54158815630484,-0.2342427769363633,0.17073279675535435,-1.6306996255535617,0.1029537156483443,0.24956327952030838,DBNDD1,False,down
2622,272.77730428490133,-0.1108392897659584,0.15218961358185004,-0.8576948069793018,0.3910610082949648,0.6039786164648749,GAS8,False,down
100130015,86.24822071925846,-0.12407939410412894,0.20718967489254744,-0.7932921281079816,0.4276076420939331,0.6391878144560638,URAHP,False,down
105376781,23.688327332017202,-0.27806424538685853,0.36705794577178713,-1.4523209226625966,0.1464123925039788,0.3201828277403387,LOC105376781,False,down
101927999,72.91205784213433,-0.5530310456193922,0.26307999647507874,-2.6839987622781423,0.007274737558048179,0.031110190593517717,LOC101927999,False,down
105371423,17.05768056626807,-0.07547263657554816,0.32985531577469634,-0.4710581908163381,0.637599180562382,0.8022539777783902,LINC02193,False,down
102723753,12.780114691018955,0.08086508000169504,0.3120296472240445,0.5587878973753152,0.5763064831448002,0.7588028028703235,LOC102723753,False,up
653562,16.799080011291295,0.08329409427637945,0.2871160029450404,0.5651060259452603,0.5720016500484305,0.7561179997263504,SLC6A10PB,False,up
105377826,15.269080015955533,-0.07431705127944069,0.323985883191302,-0.47242042214440444,0.6366267303124657,0.8014791398642185,LINC02887,False,down
101929823,13.05680275318194,-0.15664071552498016,0.37393660714653204,-0.9772712587490393,0.3284348780585543,0.5422146397890194,LOC101929823,False,down
9501,22.015559373805246,0.08418593322884134,0.3322934897289296,0.5082740849813929,0.6112611415349438,0.7830662488340767,RPH3AL,False,up
105371430,19.015675877794262,-0.21724076961196762,0.38106471900052363,-1.2169367948404806,0.22362826474170816,0.4255672572539208,LOC105371430,False,down
400566,68.17351677467562,-0.3214167909832138,0.2362321024432613,-1.7990494167074598,0.07201086409141241,0.1901655754072255,C17orf97,False,down
359845,1515.104746949702,0.7728519049559688,0.11094692804324281,7.215317284004044,5.380836612614021e-13,1.4233633291066567e-11,RFLNB,False,up
55275,1307.3294854937412,0.06005719369346387,0.09654248125146148,0.6609267846081748,0.5086592680170207,0.705548199118104,VPS53,False,up
79850,570.897534246086,-0.0010252136280622431,0.12821520490291116,-0.010282373725867358,0.991795997320365,0.9963663687005355,TLCD3A,False,down
50628,658.1957671190601,0.13696519563087514,0.11314537970301829,1.310904599639974,0.18988999668341966,0.3817944477499346,GEMIN4,False,up
100131454,14.035049876878565,-0.05821839590636545,0.3047953500087411,-0.3875349078669558,0.6983602471918394,0.8434016653818118,DBIL5P,False,down
51031,825.7358907671937,-0.2137830887302613,0.11146772858965859,-2.066802415149469,0.03875277582322753,0.11914870833508184,GLOD4,False,down
55178,194.7618239427262,0.0902161138526,0.1562160335245545,0.6753110608811403,0.4994781580240697,0.6985484748168286,MRM3,False,up
64359,2190.1809800539513,-0.19072637643088897,0.11068791926491982,-1.8713565710414137,0.06129567421832274,0.16841906854284092,NXN,False,down
29928,473.67764816412443,-0.04782538877405657,0.1201901520558746,-0.4423198594612441,0.6582577619931915,0.8176377908603709,TIMM22,False,down
29,5164.02754584598,-0.4335290623698781,0.09089133490212635,-4.963851149391885,6.91089169344709e-07,8.169441332205755e-06,ABR,False,down
112268190,94.65000701371336,-0.2990593562081444,0.2299432397431592,-1.7345332563287392,0.08282351030970127,0.21131021927683696,LOC112268190,False,down
105371481,87.87397020575251,-0.4881992142079482,0.21986270864770693,-2.6949375479617736,0.00704018250752722,0.030371438882155377,LOC105371481,False,down
105371480,48.56505862348396,-0.04753983567898393,0.2376110179978308,-0.29081880588957904,0.771189901671457,0.8855923985703188,LOC105371480,False,down
7531,8387.560868321796,0.07753827285921168,0.08814669184456123,0.9276207214231106,0.35360434513786554,0.5681801914143702,YWHAE,False,up
1398,3018.2147440640124,0.2553653762303983,0.0923695667845316,2.9064636131454944,0.003655394101716352,0.017502660208856723,CRK,False,up
4641,10795.07935715822,0.4878303314773129,0.10928389559628664,4.7090722312415165,2.488468810458935e-06,2.6807383868822765e-05,MYO1C,False,up
105371483,16.82329509791885,0.22586370353924176,0.39852207679238555,1.25875227769498,0.208119822371033,0.4058160063802381,LOC105371483,False,up
51763,926.6338513881302,0.4867105127968557,0.12076574620652122,4.298194135351333,1.7219531342848574e-05,0.00015427805562083605,INPP5K,False,up
100306951,57.249711119942255,0.030561257564666315,0.22260827228643712,0.18681747084959238,0.85180374831651,0.9289876977240954,PITPNA-AS1,False,up
5306,2159.0807129869836,0.3569829984033469,0.09780366210165933,3.83827250122263,0.00012390293571880345,0.0009081827166775194,PITPNA,False,up
124935,315.82781562246055,-0.20987844861046392,0.139290994841407,-1.6970923628272812,0.08967919987149629,0.22468000583725983,SLC43A2,False,down
8578,35.94260769162561,1.0987276227349514,0.34400764268392403,3.7935123291404165,0.0001485312524395071,0.0010691646539332967,SCARF1,True,up
83547,200.72657382011656,0.5316468198740768,0.18445484931563932,3.2928262917164806,0.0009918573403680307,0.005723172816770635,RILP,False,up
10594,10070.42382999419,0.10314801877041012,0.08777672779568745,1.231498366745082,0.2181365271415988,0.41862698159687933,PRPF8,False,up
727910,1617.6202186043774,0.9263407434217891,0.11033953295962373,8.616113456886506,6.9265124520515544e-18,2.8308426602022077e-16,TLCD2,False,up
84981,1719.5247849787522,0.806557329885675,0.0979686035736141,8.436056984506259,3.282228086725312e-17,1.2579686180389212e-15,MIR22HG,False,up
407004,63.66499223639221,1.0142653106759547,0.270281159973558,4.244862780806887,2.1872722924280233e-05,0.00019100701381015756,MIR22,True,up
124997,1266.5318179399237,0.1927559193263577,0.0993882050559735,2.061468043040516,0.03925840920025904,0.12022190757756884,WDR81,False,up
5345,13.427644080859157,0.6764266778016007,0.6096067055274899,2.3367043586804903,0.019454561753283126,0.06874264014728008,SERPINF2,False,up
5176,12561.766081376674,-0.1599388323727352,0.08938224333049222,-1.8829991658139742,0.05970048101006903,0.16563465476290726,SERPINF1,False,down
114826,288.9352093540159,-0.2083638448406801,0.13793655486633988,-1.6957687924158087,0.08992967475581475,0.22517669868082707,SMYD4,False,down
6117,1692.2243553996936,-0.20702560315667176,0.10347076740472316,-2.1380435664872186,0.03251320747451555,0.10380512575212322,RPA1,False,down
1801,737.4323564947798,0.011608195348310276,0.10783720545339895,0.11540122752408792,0.9081271060405021,0.9580077189969135,DPH1,False,up
