Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,UV Response Dn,18/144,0.00013823444660544264,0.0011289146472777,0,0,2.947089947089947,26.189489948111746,CITED2;DUSP1;PRKCE;ANXA4;COL11A1;PIK3R3;KALRN;TGFBR2;COL1A1;DBP;DDAH1;AMPH;PPARG;APBB2;CCN1;PDLIM5;CDON;MT1E
MSigDB_Hallmark_2020,Apoptosis,19/161,0.0001961419478719855,0.0013729936351038,0,0,2.760978082233861,23.569564113334835,JUN;TGFB2;CDKN1A;EGR3;GUCY2D;GADD45B;GCH1;GPX3;PLPPR4;HMGB2;NEDD9;BRCA1;CFLAR;SAT1;RHOB;TNFSF10;HMOX1;ATF3;IER3
GO_Biological_Process_2021,axon guidance (GO:0007411),26/203,3.196414145676097e-06,0.0026945771248049,0,0,3.0487489911218724,38.57728729864283,EPHB6;SPTBN4;NRP2;LAMA2;SEMA3A;NRXN3;NEXN;IRS2;PIK3R1;ROBO1;SPTA1;RPS6KA5;TUBB3;EPHB2;SCN1B;PLXNA4;EPHB3;EPHA5;LGI1;UNC5B;SEMA6D;VEGFA;CXCL12;SMO;GDNF;DOK6
GO_Biological_Process_2021,positive regulation of branching involved in ureteric bud morphogenesis (GO:0090190),6/12,7.493365068683501e-06,0.0040489395428209,0,0,20.49247311827957,241.84176958383804,GDNF;SMO;NOG;SOX9;AGT;VEGFA
GO_Biological_Process_2021,positive regulation of p38MAPK cascade (GO:1900745),8/24,8.403057248628204e-06,0.0040489395428209,0,0,10.262931034482758,119.94200224200424,GADD45B;HAND2;LEP;RELL1;GDF6;XDH;GADD45G;VEGFA
GO_Biological_Process_2021,axonogenesis (GO:0007409),28/240,8.405271886045867e-06,0.0040489395428209,0,0,2.742166070983293,32.046739071760776,EPHB6;SPTBN4;NRP2;LAMA2;PLPPR4;SEMA3A;NRXN3;NEXN;IRS2;PIK3R1;ROBO1;SPTA1;RPS6KA5;TUBB3;SLITRK6;EPHB2;PAK3;SCN1B;EPHB3;EPHA5;LGI1;UNC5B;SEMA6D;CXCL12;GDNF;DOK6;ULK2;FGFR2
KEGG_2021_Human,Axon guidance,22/182,4.41195035910965e-05,0.0042207658435482,0,0,2.8438730853391685,28.520090123534583,EPHB6;EPHA5;TRPC6;UNC5B;SEMA6D;SEMA3A;CAMK2A;LRRC4;PIK3R3;PIK3R1;SSH2;GDF7;ROBO1;ABLIM1;CXCL12;SMO;PLCG2;RAC3;EPHB2;PAK3;PLXNA4;EPHB3
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,15/100,6.185083818682378e-05,0.0044377976399046,0,0,3.636520406208086,35.24073706752745,JUN;TGFB2;VCAM1;PRKCE;PIK3R3;PIK3R1;FOXO1;AGT;TGFBR2;VEGFA;COL1A1;COL4A1;COL4A4;COL4A3;PLCG2
MSigDB_Hallmark_2020,Myogenesis,20/200,0.0011645583262565,0.0071329197483212,0,0,2.2906356137797186,15.474190480769686,CDKN1A;TAGLN;GADD45B;LAMA2;ACSL1;GPX3;DAPK2;FST;SORBS1;LSP1;COL1A1;CKMT2;ABLIM1;SGCD;KLF5;SCD;PKIA;ADAM12;BDKRB2;EPHB3
GO_Biological_Process_2021,negative regulation of cell motility (GO:2000146),17/114,2.2125710176330736e-05,0.0093259868393234,0,0,3.6170983700346633,38.77084646957236,KANK1;MCTP1;DNAI3;CITED2;NOG;STC1;ADARB1;SPINT2;FOXO3;ALOX15B;ROBO1;RHOB;FRMD5;SFRP2;DUSP10;RAP2B;NAV3
GO_Biological_Process_2021,negative regulation of epithelial cell proliferation (GO:0050680),13/72,2.5890731428755617e-05,0.0095471691903007,0,0,4.536882310814037,47.91685196427713,CDKN2B;TGFB2;THBS1;GDF5;MTSS1;ROBO1;DUSP10;SFRP2;RGCC;KLF9;SOX9;XDH;FGFR2
GO_Biological_Process_2021,extracellular structure organization (GO:0043062),25/216,2.880757080146885e-05,0.0095471691903007,0,0,2.7116223469980056,28.3496654458986,FBN2;LAMA2;COL11A1;NID1;THBS1;ADAMTSL1;COMP;ADAMTS5;ADAMTS14;ADAMTS1;COL28A1;POSTN;COL27A1;VCAM1;MMP10;COL1A1;MMP15;COL4A1;COL4A4;ITGA10;COL7A1;ADAM12;COL4A3;ITGA11;ITGA8
GO_Biological_Process_2021,external encapsulating structure organization (GO:0045229),25/217,3.114438347962877e-05,0.0095471691903007,0,0,2.69735638492499,27.990134445965055,FBN2;LAMA2;COL11A1;NID1;THBS1;ADAMTSL1;COMP;ADAMTS5;ADAMTS14;ADAMTS1;COL28A1;POSTN;COL27A1;VCAM1;MMP10;COL1A1;MMP15;COL4A1;COL4A4;ITGA10;COL7A1;ADAM12;COL4A3;ITGA11;ITGA8
GO_Biological_Process_2021,regulation of branching involved in ureteric bud morphogenesis (GO:0090189),6/15,3.5952274473737674e-05,0.0101025891271202,0,0,13.659498207885305,139.78199172427136,GDNF;SMO;NOG;SOX9;AGT;VEGFA
KEGG_2021_Human,Pathways in cancer,44/531,0.0001830660104098442,0.010507988997525,0,0,1.881630924208801,16.19268304953377,CDKN1A;LAMA2;CAMK2A;ADCY4;PIK3R3;ADCY1;PIK3R1;ADCY8;PTGS2;RASGRP2;FOXO1;RPS6KA5;GNG2;PLCG2;BDKRB2;HMOX1;RAC3;BDKRB1;IL12A;WNT2;FGF22;JUN;CDKN2B;TGFB2;GADD45B;DAPK2;ZBTB16;TXNRD1;NCOA3;FZD8;AXIN2;ESR1;AGT;GADD45G;VEGFA;TGFBR2;CXCL12;SMO;COL4A1;COL4A4;COL4A3;PPARG;FGFR2;FGF10
MSigDB_Hallmark_2020,Interferon Gamma Response,19/200,0.0027477605378565,0.0149600295949966,0,0,2.1616067286431253,12.746927974782457,BATF2;CDKN1A;VCAM1;GCH1;TNFAIP6;NCOA3;P2RY14;PLA2G4A;IFIT1;PTGS2;SAMHD1;IFI44L;WARS1;MT2A;SOCS1;IRF4;TNFSF10;METTL7B;UPP1
GO_Biological_Process_2021,positive regulation of morphogenesis of an epithelium (GO:1905332),7/23,6.093268488952346e-05,0.015805001034421,0,0,8.970398277717976,87.06436082115522,GDNF;SMO;NOG;LIF;SOX9;AGT;VEGFA
