,cluster,membership
ENSG00000178685,0,0.9963486213090463
ENSG00000106733,5,0.9999999116561367
ENSG00000152558,5,0.9966292365700159
ENSG00000101216,4,0.9999999995258808
ENSG00000122641,2,0.9999999645578804
ENSG00000103355,1,0.9999088182395081
ENSG00000173614,5,0.7244717905929519
ENSG00000108179,3,0.9999999600214076
ENSG00000112715,1,0.8255131357309337
ENSG00000137309,3,0.9961800182841518
ENSG00000105501,5,0.9988908598102497
ENSG00000077420,0,0.9999999931598706
ENSG00000140691,4,0.9998332586720424
ENSG00000005381,1,0.8584095849030394
ENSG00000150907,3,0.9362373313871845
ENSG00000168795,3,0.5552764055230011
ENSG00000186866,1,0.9999997729594705
ENSG00000188997,0,0.9999419418734905
ENSG00000279727,0,0.9997088794116571
ENSG00000108679,5,0.99725112210096
ENSG00000143363,5,0.5584182065405224
ENSG00000215378,2,0.9999998360347546
ENSG00000136874,5,0.99999999749869
ENSG00000084733,0,0.9999965624419137
ENSG00000131143,1,0.9999993403463839
ENSG00000187555,4,0.8504418615262548
ENSG00000100083,4,0.8928410356372573
ENSG00000113369,0,0.9997716239897756
ENSG00000162747,0,0.8649419768282854
ENSG00000198604,0,0.9978122315765956
ENSG00000112149,3,0.9999964979553642
ENSG00000198888,1,1.0
ENSG00000059378,0,0.9999999999816906
ENSG00000086061,0,0.9999981395253913
ENSG00000138867,4,0.9214587283067939
ENSG00000261158,0,0.9997317019961098
ENSG00000126368,3,0.9999999999959182
ENSG00000113070,1,0.9999997624136476
ENSG00000116604,4,0.989722370663247
ENSG00000281162,0,0.9998792946388517
ENSG00000198001,5,0.9999999999999813
ENSG00000101608,0,0.9999999970239937
ENSG00000288587,0,0.9895479897246595
ENSG00000175352,4,0.9518236580727807
ENSG00000104529,1,0.9999999999999978
ENSG00000048740,5,0.9852669882715992
ENSG00000124357,0,0.9994270097119926
ENSG00000137757,5,0.9909442202783244
ENSG00000239713,0,0.949486823322594
ENSG00000137404,1,0.9999982963230318
ENSG00000113448,4,0.9999972648045565
ENSG00000111911,0,0.9344060251857091
ENSG00000111679,5,0.9581052493763687
